application_name,date,time_stamp,server_name,cpu_usage,memory_usage,disk_io,network_in,network_out,response_time_ms,error_rate,requests_per_minute
TradeStream,2025-05-29,16:51:55,srv-app01,73.08,8722.44,19.6,78.88,87.88,225.55,4.289,147
RiskGuardian,2025-05-29,17:01:55,srv-db02,67.68,15850.71,43.4,16.35,85.9,988.78,2.562,9630
LoanLogic,2025-05-29,17:11:55,srv-cache01,93.21,2866.79,98.23,78.65,71.04,162.76,2.672,5539
StockTraderPro,2025-05-29,17:21:55,srv-web01,17.67,9040.01,75.62,51.03,46.22,283.66,4.046,3731
ForexPulse,2025-05-29,17:31:55,srv-app01,56.62,3827.78,78.73,4.45,33.71,529.61,3.45,8224
BondWatch,2025-05-29,17:41:55,srv-db01,33.26,4833.98,59.43,0.99,4.49,616.48,3.86,548
EquityInsight,2025-05-29,17:51:55,srv-app02,55.14,13197.09,44.63,64.49,28.27,727.34,3.248,8047
TradeStream,2025-05-29,18:01:55,srv-cache01,11.77,3523.67,57.63,7.39,83.33,605.69,2.483,3520
TradeStream,2025-05-29,18:11:55,srv-app02,44.16,1695.37,32.91,78.41,12.9,989.02,1.516,2456
OptionMaster,2025-05-29,18:21:55,srv-app01,54.89,15808.33,75.03,30.22,54.92,590.74,1.654,8210
ForexPulse,2025-05-29,18:31:55,srv-db02,42.15,4714.46,66.56,16.51,50.71,835.8,1.864,9214
LoanLogic,2025-05-29,18:41:55,srv-app02,70.67,3375.46,17.85,63.63,31.66,215.36,3.906,1958
RiskGuardian,2025-05-29,18:51:55,srv-db02,88.2,15295.22,18.93,15.75,65.83,365.75,4.98,9235
BondWatch,2025-05-29,19:01:55,srv-db02,14.45,5930.48,88.97,3.76,64.23,851.26,3.911,3104
StockTraderPro,2025-05-29,19:11:55,srv-app02,87.17,14332.51,27.37,30.72,35.04,604.19,3.324,2643
FinTransact,2025-05-29,19:21:55,srv-app02,49.79,2100.06,66.84,73.22,83.98,791.26,4.585,2409
MarketAnalyzer,2025-05-29,19:31:55,srv-cache01,26.22,15828.87,73.61,86.41,17.27,732.27,0.762,5852
OptionMaster,2025-05-29,19:41:55,srv-db02,69.74,11908.16,67.08,14.23,21.48,275.92,3.778,7972
PortfolioPro,2025-05-29,19:51:55,srv-web01,88.5,5123.43,25.68,61.74,90.4,220.63,3.839,978
CryptoFlow,2025-05-29,20:01:55,srv-cache01,71.95,1910.61,20.18,80.09,21.73,792.61,3.995,1958
LoanLogic,2025-05-29,20:11:55,srv-app01,93.42,7866.8,29.7,25.94,48.28,405.65,2.286,1839
OptionMaster,2025-05-29,20:21:55,srv-db01,51.24,7705.14,16.04,11.16,66.46,918.55,2.227,1474
StockTraderPro,2025-05-29,20:31:55,srv-db01,27.76,10148.57,41.9,54.35,92.62,683.01,0.044,7679
EquityInsight,2025-05-29,20:41:55,srv-web01,57.37,14087.54,81.51,85.09,0.96,502.98,0.264,7794
OptionMaster,2025-05-29,20:51:55,srv-app01,81.09,9841.92,40.82,33.4,44.97,565.97,4.509,9888
FinTransact,2025-05-29,21:01:55,srv-app01,38.51,2987.95,31.07,75.26,40.86,712.08,2.511,3792
ForexPulse,2025-05-29,21:11:55,srv-app01,35.51,3379.49,66.16,60.45,5.78,560.13,1.487,4184
RiskGuardian,2025-05-29,21:21:55,srv-db01,10.24,5646.72,51.21,77.65,55.9,395.22,4.986,8727
BondWatch,2025-05-29,21:31:55,srv-cache01,71.76,6983.06,22.1,26.97,16.55,361.13,1.705,8527
StockTraderPro,2025-05-29,21:41:55,srv-db02,78.32,12229.99,72.13,58.03,93.15,143.8,3.799,2172
LoanLogic,2025-05-29,21:51:55,srv-db02,58.36,6431.53,89.29,51.14,0.11,417.08,3.305,4040
LoanLogic,2025-05-29,22:01:55,srv-web01,68.95,15634.24,43.66,35.07,70.72,455.63,4.396,6694
PortfolioPro,2025-05-29,22:11:55,srv-db01,55.99,8207.4,41.26,89.11,63.91,583.4,2.47,7379
EquityInsight,2025-05-29,22:21:55,srv-cache01,52.03,10728.91,1.53,16.06,73.43,692.58,0.433,6963
LoanLogic,2025-05-29,22:31:55,srv-cache01,25.69,8346.73,0.89,63.16,82.85,221.75,3.274,192
TradeStream,2025-05-29,22:41:55,srv-db01,50.48,14509.93,6.37,25.35,22.46,988.36,4.929,3189
BondWatch,2025-05-29,22:51:55,srv-app02,17.89,11698.25,70.42,94.71,14.4,405.65,2.635,7540
LoanLogic,2025-05-29,23:01:55,srv-db01,86.17,5337.99,77.73,55.39,69.58,220.09,0.293,1315
RiskGuardian,2025-05-29,23:11:55,srv-db01,37.75,2587.04,88.23,53.44,2.82,305.19,3.817,9459
BondWatch,2025-05-29,23:21:55,srv-cache01,71.48,8357.99,71.53,70.35,18.76,434.79,4.419,3021
LoanLogic,2025-05-29,23:31:55,srv-app02,85.09,4361.28,8.18,16.04,10.37,109.64,1.609,9096
ForexPulse,2025-05-29,23:41:55,srv-app01,84.41,7025.59,76.11,79.47,43.92,929.64,3.161,2330
LoanLogic,2025-05-29,23:51:55,srv-db02,90.54,14867.93,96.09,62.72,78.08,86.1,2.762,5983
BondWatch,2025-05-30,00:01:55,srv-db02,13.24,10663.05,81.66,59.41,89.8,689.9,3.096,1528
FinTransact,2025-05-30,00:11:55,srv-cache01,59.89,11687.67,75.87,71.42,42.2,795.82,1.452,6209
TradeStream,2025-05-30,00:21:55,srv-db02,94.03,15465.23,65.4,58.2,26.65,457.31,2.816,1379
FinTransact,2025-05-30,00:31:55,srv-app01,12.74,4522.83,66.17,16.21,40.7,853.96,4.114,4978
FinTransact,2025-05-30,00:41:55,srv-db01,80.77,6618.91,21.77,64.58,19.08,289.33,4.863,5482
FinTransact,2025-05-30,00:51:55,srv-app02,33.88,535.07,51.91,61.65,39.25,190.84,1.754,7728
PortfolioPro,2025-05-30,01:01:55,srv-cache01,15.24,12757.05,7.52,40.25,2.55,916.86,3.112,219
TradeStream,2025-05-30,01:11:55,srv-app01,62.94,9372.69,67.19,62.15,83.97,634.72,3.469,5429
OptionMaster,2025-05-30,01:21:55,srv-web01,50.94,4993.8,90.41,64.22,19.7,868.01,4.723,8200
FinTransact,2025-05-30,01:31:55,srv-app01,60.35,1191.87,15.73,74.83,76.32,176.4,3.331,8190
CryptoFlow,2025-05-30,01:41:55,srv-db02,58.53,7401.22,88.98,95.14,73.03,824.96,4.54,3748
ForexPulse,2025-05-30,01:51:55,srv-app01,19.38,4018.86,65.15,11.87,27.56,325.74,3.366,341
StockTraderPro,2025-05-30,02:01:55,srv-app01,22.79,16321.57,44.52,40.66,0.77,609.47,3.963,5424
EquityInsight,2025-05-30,02:11:55,srv-db01,18.52,7862.3,16.37,2.16,95.23,782.95,3.682,8517
StockTraderPro,2025-05-30,02:21:55,srv-web01,19.93,2052.37,34.36,35.2,38.87,33.8,0.589,900
PortfolioPro,2025-05-30,02:31:55,srv-app01,72.51,9023.24,47.16,51.98,33.43,258.08,4.306,8519
EquityInsight,2025-05-30,02:41:55,srv-app02,56.71,1714.91,18.68,47.88,20.48,113.95,4.916,3202
PortfolioPro,2025-05-30,02:51:55,srv-app02,26.7,8505.2,82.45,6.03,34.94,555.6,3.109,6170
EquityInsight,2025-05-30,03:01:55,srv-app02,48.47,2884.22,23.47,79.36,71.02,151.22,4.843,9510
LoanLogic,2025-05-30,03:11:55,srv-db01,54.91,3387.96,9.62,27.2,75.75,717.76,3.557,3494
RiskGuardian,2025-05-30,03:21:55,srv-web01,65.41,14268.22,80.58,11.35,79.04,811.39,3.106,1617
FinTransact,2025-05-30,03:31:55,srv-web01,20.28,5112.66,22.17,87.1,60.48,215.23,0.233,8097
EquityInsight,2025-05-30,03:41:55,srv-cache01,17.88,14026.92,14.18,84.19,17.29,282.22,3.634,6081
ForexPulse,2025-05-30,03:51:55,srv-cache01,70.55,4207.63,15.38,94.69,38.46,98.21,2.024,4208
BondWatch,2025-05-30,04:01:55,srv-db01,61.68,14308.91,18.12,36.19,0.2,253.26,4.745,2550
PortfolioPro,2025-05-30,04:11:55,srv-db02,11.7,6693.12,80.98,96.57,87.69,824.06,1.843,723
FinTransact,2025-05-30,04:21:55,srv-app02,83.67,6207.32,83.24,33.63,38.05,42.38,0.285,7065
MarketAnalyzer,2025-05-30,04:31:55,srv-app01,11.71,14817.02,86.6,55.31,14.57,141.52,1.349,9979
TradeStream,2025-05-30,04:41:55,srv-db02,89.99,10484.01,95.63,13.73,85.73,236.38,1.236,4380
StockTraderPro,2025-05-30,04:51:55,srv-db02,28.05,13065.88,29.05,58.29,50.23,553.63,2.698,5321
CryptoFlow,2025-05-30,05:01:55,srv-db01,82.55,5990.14,51.28,38.0,99.12,744.05,3.409,5493
OptionMaster,2025-05-30,05:11:55,srv-app02,75.99,10851.69,85.3,9.61,94.29,665.21,1.046,7207
EquityInsight,2025-05-30,05:21:55,srv-db01,18.12,6716.06,22.73,20.37,3.67,528.34,1.971,6808
CryptoFlow,2025-05-30,05:31:55,srv-app02,55.23,10885.67,46.34,36.95,98.76,772.11,1.211,1332
ForexPulse,2025-05-30,05:41:55,srv-app02,90.41,16254.43,32.64,63.89,67.64,375.99,1.089,8908
EquityInsight,2025-05-30,05:51:55,srv-app01,90.63,15198.93,45.34,16.72,29.18,511.26,4.324,1609
TradeStream,2025-05-30,06:01:55,srv-cache01,49.03,5179.48,3.57,5.39,68.56,997.17,1.186,4626
LoanLogic,2025-05-30,06:11:55,srv-app02,36.27,5380.39,31.31,81.82,55.93,458.75,1.643,8461
BondWatch,2025-05-30,06:21:55,srv-db02,73.32,13010.75,99.44,18.21,31.48,54.36,4.517,3725
MarketAnalyzer,2025-05-30,06:31:55,srv-app01,89.76,15916.74,52.71,25.63,17.44,860.37,0.195,2330
MarketAnalyzer,2025-05-30,06:41:55,srv-cache01,35.46,15328.04,75.6,18.36,87.51,271.14,2.981,9953
LoanLogic,2025-05-30,06:51:55,srv-cache01,44.41,3167.66,73.95,33.44,28.49,986.27,3.968,7773
CryptoFlow,2025-05-30,07:01:55,srv-app02,84.33,8050.89,85.05,30.3,65.1,301.73,3.909,1929
RiskGuardian,2025-05-30,07:11:55,srv-app01,94.65,10355.59,94.18,25.27,45.31,412.65,2.015,8929
EquityInsight,2025-05-30,07:21:55,srv-web01,66.57,3745.5,5.75,96.71,58.73,128.19,1.088,1264
EquityInsight,2025-05-30,07:31:55,srv-cache01,62.89,6711.88,49.65,61.91,85.28,519.86,3.009,6635
ForexPulse,2025-05-30,07:41:55,srv-app02,60.15,2820.3,31.77,93.44,31.28,948.25,1.801,5671
EquityInsight,2025-05-30,07:51:55,srv-db01,87.86,5977.04,74.33,93.27,76.46,479.88,0.431,9503
EquityInsight,2025-05-30,08:01:55,srv-web01,82.72,2619.2,79.84,60.16,17.34,444.45,4.616,2684
MarketAnalyzer,2025-05-30,08:11:55,srv-db01,40.9,14484.19,93.98,64.32,6.12,327.47,0.479,4075
CryptoFlow,2025-05-30,08:21:55,srv-app02,18.56,16234.1,43.77,44.13,68.3,862.48,0.82,5812
TradeStream,2025-05-30,08:31:55,srv-app01,41.76,3410.5,83.98,30.31,77.43,921.5,0.561,4463
BondWatch,2025-05-30,08:41:55,srv-app02,21.59,7704.31,12.42,64.06,42.91,395.23,1.445,4931
RiskGuardian,2025-05-30,08:51:55,srv-db01,93.42,1387.67,13.06,17.84,54.58,629.64,0.846,4792
EquityInsight,2025-05-30,09:01:55,srv-web01,89.18,11582.13,28.91,50.62,80.19,751.74,3.097,7686
CryptoFlow,2025-05-30,09:11:55,srv-db01,32.56,8808.63,57.11,61.27,36.57,283.9,0.169,1917
CryptoFlow,2025-05-30,09:21:55,srv-web01,78.4,15621.9,80.51,40.43,63.5,858.6,4.137,1917
TradeStream,2025-05-30,09:31:55,srv-cache01,27.19,10926.6,18.72,4.95,78.98,508.96,4.297,7605
StockTraderPro,2025-05-30,09:41:55,srv-db02,24.65,8763.18,79.21,35.21,97.33,627.21,2.902,9019
StockTraderPro,2025-05-30,09:51:55,srv-app01,89.51,7122.58,59.1,84.84,18.47,637.97,0.149,2352
FinTransact,2025-05-30,10:01:55,srv-db02,36.89,14958.7,63.95,29.01,58.95,124.81,2.664,8133
EquityInsight,2025-05-30,10:11:55,srv-db02,68.13,3849.04,65.21,16.78,93.88,849.6,2.5,3856
TradeStream,2025-05-30,10:21:55,srv-app01,15.81,2734.93,55.07,73.22,9.79,820.56,1.6,6908
EquityInsight,2025-05-30,10:31:55,srv-cache01,81.44,7262.44,86.77,1.19,86.11,212.81,1.572,4174
TradeStream,2025-05-30,10:41:55,srv-web01,86.94,15562.17,91.15,21.25,34.43,320.98,1.753,9573
CryptoFlow,2025-05-30,10:51:55,srv-db01,31.87,7983.16,46.49,97.02,34.82,347.49,4.299,1270
PortfolioPro,2025-05-30,11:01:55,srv-db01,42.83,7540.31,38.5,25.96,68.45,774.91,4.311,4435
TradeStream,2025-05-30,11:11:55,srv-db02,85.05,4368.75,50.05,95.68,95.55,740.12,0.064,7605
ForexPulse,2025-05-30,11:21:55,srv-cache01,71.38,7964.68,76.8,8.56,47.32,33.7,4.623,5486
